,EdLevel,Country,YearsCodePro,Salary
1330,Master’s degree,Italy,3.0,25944.0
1331,Master’s degree,India,7.0,16080.0
1333,Bachelor’s degree,United States of America,1.0,90000.0
1335,Master’s degree,India,10.0,111694.0
1336,Bachelor’s degree,United States of America,1.0,65000.0
1339,Bachelor’s degree,United States of America,26.0,150000.0
1342,Bachelor’s degree,Germany,3.0,60972.0
1343,Bachelor’s degree,India,11.0,23735.0
1347,Post grad,Germany,6.0,62481.0
1348,Less than a Bachelors,Russian Federation,8.0,24540.0
1349,Bachelor’s degree,Canada,3.0,31400.0
1350,Bachelor’s degree,United States of America,23.0,150000.0
1356,Master’s degree,France,18.0,51887.0
1359,Bachelor’s degree,India,8.0,29320.0
1360,Bachelor’s degree,United States of America,11.0,105000.0
1364,Master’s degree,India,9.0,44678.0
1365,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,12.0,134430.0
1371,Bachelor’s degree,Netherlands,17.0,71340.0
1372,Bachelor’s degree,Italy,16.0,41077.0
1373,Less than a Bachelors,United States of America,3.0,70000.0
1376,Bachelor’s degree,Netherlands,12.0,59454.0
1379,Master’s degree,Italy,26.0,45401.0
1382,Bachelor’s degree,India,6.0,34904.0
1384,Master’s degree,United States of America,8.0,150000.0
1389,Less than a Bachelors,United Kingdom of Great Britain and Northern Ireland,6.0,47826.0
1391,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,11.0,64630.0
1393,Master’s degree,United States of America,12.0,80000.0
1394,Post grad,Germany,16.0,84316.0
1397,Bachelor’s degree,Netherlands,21.0,81074.0
1415,Master’s degree,Italy,9.0,57292.0
1422,Less than a Bachelors,Brazil,4.0,16035.0
1424,Bachelor’s degree,Germany,5.0,73507.0
1427,Less than a Bachelors,Canada,4.0,55967.0
1435,Master’s degree,Germany,35.0,54070.0
1446,Less than a Bachelors,United States of America,10.0,155000.0
1449,Less than a Bachelors,Spain,4.0,32429.0
1457,Master’s degree,Brazil,12.0,30240.0
1464,Master’s degree,Poland,5.0,66828.0
1468,Bachelor’s degree,Israel,0.5,98064.0
1474,Bachelor’s degree,United Kingdom of Great Britain and Northern Ireland,11.0,118919.0
1475,Master’s degree,United States of America,5.0,140000.0
1481,Bachelor’s degree,United States of America,5.0,120000.0
1482,Post grad,United States of America,14.0,130000.0
1489,Less than a Bachelors,Spain,9.0,81074.0
1490,Master’s degree,United States of America,15.0,115000.0
1492,Master’s degree,United Kingdom of Great Britain and Northern Ireland,0.5,38778.0
1494,Master’s degree,Israel,8.0,133080.0
1500,Less than a Bachelors,United States of America,9.0,150000.0
1503,Bachelor’s degree,United States of America,1.0,70000.0
1504,Bachelor’s degree,United States of America,10.0,130000.0
1505,Master’s degree,France,7.0,52968.0
1507,Bachelor’s degree,India,9.0,25128.0
